#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,xclip,allows for copying and pasting from the command line.
,xorg-xrdb,use to set xresources
,xorg-xbacklight,enables changing screen brightness levels.
,xbanish,hides an inactive mouse.
,xdotool,provides window action utilities on the command line.
,ranger,is an extensive terminal file manager that everyone likes.
,bc,is used for a dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,nitrogen,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
,firefox,is an elegant browser.
,ntfs-3g,allows accessing NTFS partitions.
,pipewire,is the audio system.
,pipewire-pulse,gives pipewire compatibility with PulseAudio programs.
,pulsemixer,is an audio controller.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,flameshot,can take quick screenshots at your request.
,unrar,extracts rar's.
,zip,zip archives
,unzip,unzips zips.
,lynx,is a terminal browser.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
A,simple-mtpfs,enables the mounting of cell phones.
A,htop-vim-git,is a graphical and colorful system monitor.
G,https://github.com/lukesmithxyz/dwm.git,is the window manager.
,moreutils,is a collection of useful unix tools.
,stow,is a dotfiles manager
,zsh,system shell
A,zsh-completions-git,Completions plugin for shell
G,https://github.com/RuanPetrus/dwm.git,Window manager
G,https://github.com/RuanPetrus/dwmblocks.git,System Status Bar
G,https://github.com/RuanPetrus/st.git,Terminal
